group,area,program,num_2026,fraction_atypical_mean,fraction_atypical_stdev
Top 10,4,DESARROLLO Y GESTION INTERCULTURALES,98,1.00000,0.00000
Top 10,4,INSTRUMENTISTA,69,0.94234,0.12894
Top 10,3,DESARROLLO TERRITORIAL,7,0.91887,0.18141
Top 10,4,LINGÜISTICA APLICADA,84,0.89747,0.22927
Top 10,3,GEOGRAFIA,73,0.88673,0.25327
Top 10,2,BIOQUIMICA DIAGNOSTICA,338,0.87040,0.06733
Top 10,4,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),9,0.81999,0.25072
Top 10,3,SOCIOLOGIA,453,0.81663,0.15585
Top 10,4,PIANO,20,0.78638,0.29731
Top 10,4,GEOHISTORIA,6,0.77462,0.36285
Bottom 10,4,LENGUA Y LITERATURAS HISPANICAS,231,0.11225,0.07016
Bottom 10,4,COMPOSICION,46,0.15506,0.08630
Bottom 10,1,CIENCIAS DE LA TIERRA,167,0.19392,0.10979
Bottom 10,4,ARTE Y DISEÑO,202,0.19759,0.06031
Bottom 10,1,FISICA,723,0.20487,0.02947
Bottom 10,4,ARTES VISUALES,1502,0.20804,0.01002
Bottom 10,1,CIENCIAS DE LA COMPUTACION,1013,0.20943,0.02422
Bottom 10,4,DISEÑO Y COMUNICACION VISUAL,1818,0.21216,0.00609
Bottom 10,4,CANTO,33,0.21447,0.10770
Bottom 10,3,ECONOMIA INDUSTRIAL,133,0.21918,0.17075
